lambda_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
15.700000000000001,0.5,Uniform,0.5,0.5000421937999999,0.018874546716480162,8.438759999984669e-05,True
15.700000000000001,0.49,Uniform,0.5,0.5000438566,0.01924553710439186,8.77131999998948e-05,True
15.700000000000001,0.48,Uniform,0.5,0.5000450434,0.019511597324861695,9.008679999999991e-05,True
15.700000000000001,0.47000000000000003,Uniform,0.5,0.5000449524,0.01949385273956538,8.99048000000402e-05,True
15.700000000000001,0.46,Uniform,0.5,0.5000450622,0.01951398306995735,9.012440000000232e-05,True
15.700000000000001,0.45,Uniform,0.5,0.5000453642,0.019571861308168206,9.072840000001747e-05,True
15.600000000000001,0.95,Uniform,0.5,0.5000029584,0.0050001299731726135,5.916799999949873e-06,True
15.600000000000001,0.94,Uniform,0.5,0.500004216,0.006001402596557674,8.43200000000266e-06,True
15.600000000000001,0.9299999999999999,Uniform,0.5,0.5000056812,0.007002999211049259,1.1362399999992334e-05,True
15.600000000000001,0.92,Uniform,0.5,0.5000060171999999,0.007207273129394812,1.2034399999860668e-05,True
15.600000000000001,0.91,Uniform,0.5,0.5000063678000001,0.007403120847897923,1.2735600000146619e-05,True
15.600000000000001,0.9,Uniform,0.5,0.5000069537999999,0.007723144277946201,1.3907599999862796e-05,True
15.600000000000001,0.89,Uniform,0.5,0.5000077648000001,0.008152773763124274,1.552960000017478e-05,True
15.600000000000001,0.88,Uniform,0.5,0.5000087924,0.008675762954960928,1.758479999991458e-05,True
15.600000000000001,0.87,Uniform,0.5,0.5000100356,0.009276353080905714,2.0071200000026934e-05,True
15.600000000000001,0.8600000000000001,Uniform,0.5,0.5000114848,0.009940509353298228,2.2969600000033452e-05,True
15.600000000000001,0.8500000000000001,Uniform,0.5,0.5000122326,0.010269878202070088,2.4465200000101106e-05,True
15.600000000000001,0.8400000000000001,Uniform,0.5,0.5000124713999999,0.010361772408747074,2.4942799999871923e-05,True
15.600000000000001,0.8300000000000001,Uniform,0.5,0.5000129393999999,0.010544297742927498,2.5878799999823343e-05,True
15.600000000000001,0.8200000000000001,Uniform,0.5,0.5000136356,0.010812822736821324,2.727120000001193e-05,True
15.600000000000001,0.81,Uniform,0.5,0.5000145469999999,0.011161113907443197,2.9093999999840747e-05,True
15.600000000000001,0.8,Uniform,0.5,0.5000156712,0.011581938769473034,3.134240000002286e-05,True
15.600000000000001,0.79,Uniform,0.5,0.5000169988,0.01206767410930873,3.399759999989094e-05,True
15.600000000000001,0.78,Uniform,0.5,0.5000185266,0.012610773168734544,3.7053200000025655e-05,True
15.600000000000001,0.77,Uniform,0.5,0.5000191039999999,0.012811178129141572,3.820799999987301e-05,True
15.600000000000001,0.76,Uniform,0.5,0.5000193114,0.012874738543214819,3.862279999999885e-05,True
15.600000000000001,0.75,Uniform,0.5,0.5000197444,0.01300848440921515,3.94887999999316e-05,True
15.600000000000001,0.74,Uniform,0.5,0.5000203961999999,0.01321022476696382,4.079239999987827e-05,True
15.600000000000001,0.73,Uniform,0.5,0.5000212578000001,0.013476856568975397,4.2515600000125886e-05,True
15.600000000000001,0.72,Uniform,0.5,0.5000223254,0.013804563339523413,4.465080000004562e-05,True
